,Unnamed: 0.1,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
212,1075,228760,KOSDAQ,지노믹트리,의료용품 및 기타 의약 관련제품 제조업,암 조기진단 제품,2019-03-27,12월,안성환,http://genomictree.com/ko/,대전광역시,2022-08-11,21123474.0,25237049915.0,14067063309.0,2174255622.0,11985636133.0,0.0,55.74,8.62,47.49,2612632392.0,-2103230120.0,-2297314859.0,-2971069817.0,0.0,-80.5,-87.93,-113.72,2268.0,183893335.0,-2737635911.0,-2465339675.0,-2112914561.0,0.0,-1488.71,-1340.64,-1148.99,572412202.0,-1968731750.0,-1341249861.0,-1315291097.0,0.0,-343.94,-234.32,-229.78,-400.0,5139615073.0,-9855101992.0,-7630666322.0,-11424524208.0,-540.0,6153.0,5448.0,24.93,-6.45,36.86,-9.93,1544.45,263.44,13623.743666403136,,13000,274605162000,5.73,14150,-35.38,-26.2,2.26,105.28,94.23,2019-12-10,20.94,8.85,2022-07-12
30,514,39310,KOSDAQ,세중,여행사 및 기타 여행보조 서비스업,여행,2000-06-09,12월,"천신일,천세전",http://www.sejoong.com,서울특별시,2022-08-16,18129204.0,51893252575.0,1863627394.0,5256498572.0,2277121223.0,0.0,3.59,10.13,4.39,22546349816.0,1365686906.0,3383635378.0,-81312146.0,-81312146.0,6.06,15.01,-0.36,500.0,566672993.0,-132641773.0,270413746.0,557139339.0,0.0,-23.41,47.72,98.32,16850635834.0,306960051.0,1041465628.0,-1381177405.0,2303243950.0,1.82,6.18,-8.2,120.0,158089683253.0,4881682129.0,5405255272.0,4456476747.0,245.0,5011.0,4819.0,6.66,3.38,9.98,5.1,27.0,4.239999999999999,9057.530571604284,33.80118138039396,2940,53299859760,5.88,4545,37.88,18.55,0.61,111.99,86.39,2021-06-10,54.59,54.59,2021-09-02
155,972,66980,KOSDAQ,이엔코퍼레이션,기타 정보 서비스업,온라인정보제공,2003-01-17,12월,오태석,http://www.encorp.co.kr,서울특별시,2022-08-16,45072531.0,62128690875.0,2878568480.0,-6223582815.0,-1966407320.0,0.0,4.63,-10.02,-3.17,71404713790.0,2031270556.0,-286634731.0,-53153014.0,383149502.0,2.84,-0.4,-0.07,-172.0,2636433617.0,137764452.0,-23491759469.0,9645155443.0,0.0,5.23,-891.04,365.84,2989844172.0,-859581485.0,-3960510532.0,-34445685890.0,-2668021493.0,-28.75,-132.47,-1152.09,852.0,168287499305.0,3994439009.0,-19390120108.0,21002028216.0,465.0,2705.0,2165.0,-2.81,8.18,-6.36,21.52,-0.6000000000000005,31.59,2256.5429629780056,,3280,147837901680,-19.07,5925,6.95,12.74,3.45,149.57,121.04,2021-03-25,81.14,80.64,2021-08-25
241,1403,205470,KOSDAQ,휴마시스,의료용품 및 기타 의약 관련제품 제조업,체외진단키트,2014-12-01,12월,차정학,http://www.humasis.com,경기도,2022-08-16,34219182.0,326378338982.0,203160627162.0,132476467438.0,159802706368.0,0.0,62.25,40.59,48.96,173906391397.0,99599136386.0,120459390470.0,75312498234.0,0.0,57.27,69.27,43.31,18676.0,20278182554.0,11917455189.0,11528690080.0,10063390894.0,0.0,58.77,56.85,49.63,22422512802.0,13343560077.0,8778580491.0,12617441553.0,0.0,59.51,39.15,56.27,1176.0,321829140756.0,193592723916.0,205023365614.0,151204591708.0,4418.0,12669.0,5903.0,84.89,44.38,147.41,74.85,3.479999999999997,-2.239999999999995,1509.5048859179929,,18900,646742539800,1.01,34500,29.34,7.81,5.6,2223.23,82.54,2022-02-03,154.61,82.54,2022-02-03
248,590,222080,KOSDAQ,씨아이에스,특수 목적용 기계 제조업,2차전지 제조설비,2015-09-02,12월,김수하,http://www.cisro.co.kr,대구광역시,2022-08-12,61441477.0,23230381495.0,1535334686.0,-22118214221.0,1210492516.0,0.0,6.61,-95.21,5.21,50882691023.0,8002944328.0,9204001065.0,-26556969589.0,0.0,15.73,18.09,-52.19,76.0,2241629264.0,-1125642534.0,-6671337984.0,-392227835.0,0.0,-50.22,-297.61,-17.5,64002016677.0,6980945814.0,27994542369.0,-1119456151.0,0.0,10.91,43.74,-1.75,-24.0,132737951313.0,16353054298.0,-30783989926.0,-24577785396.0,-400.0,2755.0,1892.0,1.22,-7.7,2.76,-21.14,56.83,4.82,936.3168374036716,,16200,995351927400,213.16,21400,-891.67,-53.5,5.33,673.68,32.1,2021-09-30,57.35,32.1,2021-09-30
203,543,253840,KOSDAQ,수젠텍,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,2019-05-28,12월,손미진,http://www.sugentech.com,대전광역시,2022-08-12,16275126.0,67939612533.0,44711324011.0,1147625049.0,34937416139.0,0.0,65.81,1.69,51.42,25658259511.0,11522033961.0,15593322034.0,11182727422.0,0.0,44.91,60.77,43.58,8584.0,11035322955.0,5490267904.0,4378623342.0,5654990472.0,0.0,49.75,39.68,51.24,12567360884.0,3370814821.0,3490375057.0,3283734701.0,0.0,26.82,27.77,26.13,1388.0,77201041452.0,34813542443.0,38955129427.0,36151559448.0,2221.0,9104.0,6190.0,61.11,23.24,94.29,35.88,16.060000000000002,18.09,515.6558608211571,104.16585270234847,14200,231106789200,1.65,22850,16.46,10.29,11.99,743.34,290.85,2020-08-06,92.1,60.92,2022-02-03
81,1170,196450,KOSDAQ,코아시아옵틱스,사진장비 및 광학기기 제조업,휴대폰용카메라렌즈모듈제조,2014-06-02,12월,"위종묵, 김태섭(각자 대표이사)",http://www.coasiaoptics.com,경기도,2022-08-12,41233388.0,117329866094.0,2166852408.0,-15163438065.0,1853536468.0,0.0,1.85,-12.92,1.58,84289460230.0,-5215556476.0,-1510092750.0,-16491549946.0,0.0,-6.19,-1.79,-19.57,176.0,20947805255.0,670031671.0,-2412872869.0,2677407412.0,0.0,3.2,-11.52,12.78,19717566729.0,-7499638707.0,1262539382.0,-8798022730.0,0.0,-38.04,6.4,-44.62,256.0,179320640716.0,-13187242262.0,1034780598.0,-15010243281.0,-364.0,3134.0,2659.0,2.96,-7.55,5.61,-13.69,-1.35,31.85,460.105770822911,,1990,82054442120,11.31,2850,11.13,-7.83,4.79,151.52,191.46,2019-10-21,35.39,43.22,2021-08-12
187,1237,277880,KOSDAQ,티에스아이,특수 목적용 기계 제조업,"2차전지 장비(믹싱시스템, 믹싱제작품, 믹싱 공사, 코터건조시스템)",2020-07-22,12월,표인식,http://taesungind.co.kr/,경기도,2022-08-12,18641577.0,46078510354.0,3826139910.0,12969793478.0,1349428270.0,0.0,8.3,28.15,2.93,29570504239.0,2015922522.0,-11067338246.0,9789502865.0,0.0,6.82,-37.43,33.11,288.0,8488410431.0,-647785479.0,-4052529119.0,-233392960.0,0.0,-7.63,-47.74,-2.75,10049701738.0,-1056834592.0,1928839247.0,-1802439743.0,0.0,-10.52,19.19,-17.94,-48.0,67319918067.0,-128616504.0,-36458108439.0,1167242328.0,62.0,2911.0,2185.0,3.13,0.94,9.89,2.87,15.93,17.34,442.8402729646474,194.24260550129367,10400,193872400800,36.11,17850,-371.88,287.9,2.4,183.33,71.63,2021-10-15,85.59,71.63,2021-10-15
205,22,297890,KOSDAQ,HB솔루션,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22,12월,"이흥근, 이재원(공동 대표이사)",http://www.hb-solution.co.kr,충청남도,2022-08-12,16719190.0,28145432242.0,3012535770.0,-36603662242.0,3812401351.0,0.0,10.7,-130.05,13.55,17823562355.0,1428940038.0,-8691265216.0,4624904313.0,0.0,8.02,-48.76,25.95,912.0,6089401246.0,-1872162881.0,-9851689970.0,-1861269697.0,0.0,-30.74,-161.78,-30.57,7774411221.0,392329788.0,4221241566.0,-233762206.0,0.0,5.05,54.3,-3.01,-444.0,46773127251.0,667762433.0,-23280140107.0,6084585788.0,363.0,7023.0,6212.0,7.37,3.83,12.98,5.86,41.44,2.97,362.2036076287162,,14200,237412498000,15.57,28050,-63.18,77.27,8.56,93.79,108.8,2021-07-29,104.0,97.54,2021-08-12
50,472,263540,KOSDAQ,샘코,"항공기,우주선 및 부품 제조업",도어시스템,2017-09-15,12월,정기환,http://www.samcokorea.com,경상남도,2022-08-12,6039136.0,10984364508.0,1868038578.0,-2312367524.0,817790653.0,0.0,17.01,-21.05,7.45,7102293809.0,4234577634.0,-344619433.0,2572384012.0,0.0,59.62,-4.85,36.22,540.0,2685316659.0,-4232227959.0,-3217310317.0,-4329871120.0,0.0,-157.61,-119.81,-161.24,5831380314.0,-5567972871.0,672221509.0,-6567560515.0,0.0,-95.48,11.53,-112.62,-2864.0,20274726202.0,-2958092103.0,-163146114.0,-5034011304.0,-833.0,181.0,171.0,9.26,-13.75,298.07,-485.77,174.62,155.1,309.05285680872095,21.794385318151622,10900,65826582400,20.19,10900,-3.81,-13.09,0.0,396.28,396.28,2019-08-12,0.0,0.0,2022-08-12
