,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
43,88790,KOSPI,진도,기타 전문 도매업,"모피제품 제조,가공",2006-03-28,12월,임병남,http://www.jindofand.co.kr,서울특별시,2022-08-16,12447056.0,17860841731.0,2852565998.0,15524483279.0,2107236069.0,0.0,15.97,86.92,11.8,27148227474.0,3951559894.0,4404184621.0,3539189279.0,0.0,14.56,16.22,13.04,676.0,14642736158.0,963364415.0,10706336765.0,1038630662.0,0.0,6.58,73.12,7.09,22454810616.0,522444592.0,5608187908.0,-594512502.0,0.0,2.33,24.98,-2.65,332.0,58961462990.0,3775884191.0,10690116847.0,3568236830.0,286.0,8495.0,8087.0,6.14,2.62,7.96,3.54,9.39,12.23,21.97748793856264,20.90160962950069,3070,38212461920,4.54,4100,12.35,14.34,7.8,148.31,115.96,2021-04-02,44.47,33.55,2022-04-05
9,1770,KOSPI,SHD,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매",1988-11-23,12월,신종호,http://www.shinhwatp.com,경기도,2022-08-12,1214746.0,28271973142.0,2683513780.0,12342480705.0,1967947525.0,0.0,9.49,43.66,6.96,29469052178.0,2181900171.0,-381543704.0,2354932968.0,0.0,7.4,-1.29,7.99,6480.0,23166145869.0,144370135.0,5135446558.0,290722023.0,0.0,0.62,22.17,1.25,22664269254.0,661944523.0,1209224251.0,309361830.0,0.0,2.92,5.34,1.36,956.0,104770706369.0,5712545723.0,-770577690.0,5792585283.0,4768.0,37033.0,33423.0,9.54,8.15,17.5,14.27,8.870000000000001,4.48,22.040037656123072,30.024276749178792,32300,39236295800,4.98,43000,44.98,9.02,3.94,125.52,34.06,2021-04-12,52.54,33.13,2022-06-14
38,760,KOSPI,이화산업,기타 전문 도매업,"염료(반응성염료,분산염료,범용염료,직접염료,산성염료),염료화성품,합성수지,고무 도매,제조",1994-04-29,12월,홍성우,http://www.rifa.co.kr,서울특별시,2022-08-16,2800357.0,14391303714.0,450974040.0,-1585379901.0,629491442.0,0.0,3.13,-11.02,4.37,17669640503.0,419859612.0,-1157030576.0,257169224.0,0.0,2.38,-6.55,1.46,896.0,13556646700.0,-1055734734.0,-1486335899.0,49553048745.0,0.0,-7.79,-10.96,365.53,13542531707.0,-2305992972.0,-3837127299.0,-211724667.0,0.0,-17.03,-28.33,-1.56,70780.0,57775111897.0,-4965189508.0,-7411844444.0,47088403455.0,16815.0,83716.0,83400.0,0.92,17.13,1.07,20.16,10.92,19.41,6.156810253084194,,16000,44805712000,17.86,19250,0.27,1.14,3.83,63.99,46.56,2021-03-31,23.4,20.31,2021-09-06
13,24070,KOSPI,WISCOM,플라스틱제품 제조업,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공",1996-11-22,12월,구영일,http://www.wiscom.co.kr,경기도,2022-08-16,15326526.0,34697031938.0,562565521.0,2376539055.0,232876764.0,0.0,1.62,6.85,0.67,31521962846.0,538496447.0,-329953367.0,-1368905.0,0.0,1.71,-1.05,-0.0,60.0,28642354847.0,-35115951.0,-161432423.0,670263336.0,0.0,-0.12,-0.56,2.34,26813917148.0,-804524052.0,1971425824.0,-744682710.0,0.0,-3.0,7.35,-2.78,172.0,117607135078.0,-34184360.0,525775422.0,1211761877.0,79.0,7954.0,7838.0,0.65,0.9,0.75,1.01,1.7400000000000002,4.71,21.13889421223397,,3195,48968250570,53.25,4770,27.73,60.38,1.31,195.59,110.02,2021-06-18,51.57,49.3,2021-09-10
32,4920,KOSPI,씨아이테크,그외 기타 제품 제조업,"컴퓨터 소프트웨어,하드웨어 서버,도매",1989-11-30,12월,김대영,http://www.citech.kr,서울특별시,2022-08-16,40809663.0,12421473585.0,1241035042.0,3852774806.0,3701765807.0,0.0,9.99,31.02,29.8,17972421539.0,2179875446.0,2394705138.0,4773675614.0,990882676.0,12.13,13.32,26.56,360.0,9058945790.0,-2863277673.0,905411563.0,-4587632350.0,0.0,-31.61,9.99,-50.64,13386670748.0,-675808780.0,1640213311.0,-3289994394.0,-7612846163.0,-5.05,12.25,-24.58,-448.0,47230072502.0,871731347.0,-3648266232.0,-6310819169.0,-154.0,1425.0,1171.0,14.92,-7.93,25.26,-13.2,41.6,17.18,37.11831236159765,34.25609606245916,1200,48971595600,3.33,1620,-3.62,-10.52,2.88,115.8,61.67,2021-04-27,62.0,35.0,2022-01-06
20,6570,KOSPI,대림통상,기타 금속 가공제품 제조업,"수전금구,비데,위생도기,샤워부스,타일,양식기,무역",1975-11-20,12월,"고은희, 이지용",http://www.dlt.co.kr,서울특별시,2022-08-16,15201033.0,42237522906.0,1870396248.0,-341139871.0,1156535665.0,0.0,4.43,-0.81,2.74,44431207514.0,3084542296.0,351029036.0,975681014.0,0.0,6.94,0.79,2.2,304.0,35432099534.0,-558183799.0,1000723606.0,-862554573.0,0.0,-1.58,2.82,-2.43,37551184407.0,-2444403424.0,-678043422.0,-8640400887.0,0.0,-6.51,-1.81,-23.01,-224.0,155229119203.0,2943841594.0,-2709490729.0,285043364.0,18.0,5210.0,5008.0,2.74,0.17,5.83,0.37,6.01,13.45,19.206943594944576,18.32172064782457,3850,58523977050,12.66,4580,-20.45,254.44,3.12,41.63,37.4,2021-02-01,29.82,18.96,2022-04-15
44,10640,KOSPI,진양폴리,플라스틱제품 제조업,"폴리우레탄,폴리우레탄스폰지 제조,판매",1989-09-30,12월,"김상용,조영태(각자대표이사)",http://www.chinyangpoly.kr,경기도,2022-08-16,9999768.0,13948853236.0,1252430220.0,1544090668.0,902355132.0,0.0,8.98,11.07,6.47,15781461714.0,1811031743.0,86788625.0,1514881031.0,0.0,11.48,0.55,9.6,360.0,11028007924.0,376290731.0,186466827.0,222779952.0,0.0,3.41,1.69,2.02,9230781897.0,235128693.0,454631722.0,49841629.0,0.0,2.55,4.93,0.54,88.0,53069415717.0,4715418691.0,4160884188.0,3802118983.0,380.0,3039.0,2947.0,6.98,7.91,11.84,12.9,5.57,8.93,26.48570197019383,70.96560064027693,6310,63098536080,17.53,9340,106.14,24.58,2.92,234.77,48.02,2022-03-04,140.54,48.02,2022-03-04
24,2690,KOSPI,동일제강,1차 철강 제조업,"PC강연선, 경강선, 도금선, 마봉강",2015-09-24,12월,"임범수, 김우진",http://www.dongil-steel.com,경기도,2022-08-16,20301931.0,49172132984.0,3913793974.0,-3324058825.0,3244280949.0,0.0,7.96,-6.76,6.6,49610358173.0,395698325.0,-6397356663.0,1165086477.0,0.0,0.8,-12.9,2.35,636.0,37758321524.0,1317711622.0,-1220323091.0,1297037606.0,0.0,3.49,-3.23,3.44,33531408429.0,-177819937.0,9119904394.0,499495977.0,0.0,-0.53,27.2,1.49,252.0,182235773870.0,7872984392.0,-8161281498.0,8250673190.0,406.0,8689.0,7563.0,6.33,4.57,7.32,5.37,4.47,1.33,30.228598622280224,,3400,69026565400,5.35,5320,21.11,13.1,5.9,180.59,56.47,2022-04-28,85.37,56.47,2022-04-28
49,6200,KOSPI,한국전자홀딩스,기타 금융업,"시장조사,경영컨설팅",1979-11-30,12월,박 명 덕,http://www.kecholdings.co.kr,서울특별시,2022-08-16,46808182.0,87854255824.0,10221106714.0,1522814620.0,11161032549.0,11161032549.0,11.63,1.73,12.7,93409629474.0,8722208351.0,12881513429.0,-9199257135.0,-9199257135.0,9.34,13.79,-9.85,952.0,72455609016.0,2998900501.0,787526982.0,13546919428.0,13546919428.0,4.14,1.09,18.7,62314829168.0,216169857.0,6354278874.0,-34998309371.0,29045946397.0,0.35,10.2,-56.16,1156.0,331176392129.0,38507381292.0,34548439820.0,29177553677.0,623.0,8229.0,6620.0,9.29,6.29,11.57,9.42,7.490000000000001,8.99,21.252525535462127,49.89951945815146,1515,70914395730,1.59,2565,2.22,4.12,4.12,322.57,69.31,2021-12-07,82.56,69.31,2021-12-07
2,69730,KOSPI,DSR제강,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,홍하종,http://www.dsrcorp.com,전라남도,2022-08-12,14399088.0,60917992263.0,7093751065.0,1414302842.0,8370316388.0,0.0,11.64,2.32,13.74,60990582951.0,4502295686.0,-3800317480.0,3695646284.0,0.0,7.38,-6.23,6.06,2324.0,45845471055.0,-437543835.0,513633277.0,1351759937.0,0.0,-0.95,1.12,2.95,45398416265.0,-18968562.0,6185101323.0,11455042.0,0.0,-0.04,13.62,0.03,372.0,207142759596.0,4291637467.0,-13140394540.0,7620490221.0,529.0,11449.0,10683.0,13.05,3.15,20.3,4.95,12.59,7.42,32.8767942855637,34.3451775828154,5360,77179111680,2.31,10750,28.9,20.32,3.43,160.73,100.56,2021-09-16,134.26,100.56,2021-09-16
