,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,2022-08-12,46821382.0,295803640038.0,19242745659.0,2986064682.0,10854923388.0,0.0,6.51,1.01,3.67,231171942223.0,15256320579.0,-5686381096.0,441362225.0,0.0,6.6,-2.46,0.19,924.0,240931609871.0,3854976431.0,-4407379720.0,4779675291.0,0.0,1.6,-1.83,1.98,177672260254.0,-2483940918.0,42204489753.0,-781129047.0,0.0,-1.4,23.75,-0.44,408.0,1026749457003.0,45109542821.0,-11318072318.0,76737133075.0,1638.0,7709.0,7742.0,3.17,5.66,11.99,21.17
1,6840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,2022-08-16,13247873.0,819839856194.0,-46391573226.0,-94900791669.0,-48038859624.0,0.0,-5.66,-11.58,-5.86,813056493209.0,-44163235011.0,11322020902.0,-51881064486.0,0.0,-5.43,1.39,-6.38,-14504.0,682857038600.0,-39499619893.0,-17108375739.0,-48566833017.0,0.0,-5.78,-2.51,-7.11,643708548233.0,-85728772736.0,548413581.0,-24139905133.0,0.0,-13.32,0.09,-3.75,-14664.0,3167699652090.0,-165714944091.0,-9766237791.0,-199326056742.0,-15045.0,95049.0,90758.0,-4.07,-4.38,-15.26,-16.58
2,27410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,2022-08-16,95714252.0,120062793464.0,1268970791.0,-9759188040.0,-6588018125.0,-7271993329.0,1.06,-8.13,-5.49,58086221789.0,1317315492.0,322496543.0,20950431992.0,1832573980.0,2.27,0.56,36.07,-272.0,38583769810.0,-3139478131.0,-5286372493.0,24830428142.0,-3004536270.0,-8.14,-13.7,64.35,39971706979.0,1705991712.0,-888454194.0,1484429162.0,-5577977320.0,4.27,-2.22,3.71,1036.0,206770625284.0,11499330314.0,1524674595.0,65537951441.0,684.0,19723.0,18103.0,-1.17,3.31,-1.38,3.78
3,282330,KOSPI,BGF리테일,종합 소매업,체인화 편의점,2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시,2022-08-16,17282608.0,1692224040773.0,37755069529.0,113369985099.0,25988985646.0,0.0,2.23,6.7,1.54,1742951326656.0,49669908433.0,116327471645.0,35667473798.0,0.0,2.85,6.67,2.05,6012.0,1501235771674.0,21631358848.0,76751157726.0,15871350141.0,0.0,1.44,5.11,1.06,1556280875033.0,35553518237.0,120837905557.0,26163559364.0,0.0,2.28,7.76,1.68,3672.0,6781161259022.0,199441703668.0,538147659919.0,147642852239.0,8542.0,47731.0,46828.0,3.87,5.69,12.6,18.24
4,1460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,2022-08-16,624596.0,35803053704.0,6822316333.0,1042829001.0,4878047056.0,0.0,19.06,2.91,13.62,49507767823.0,9976010595.0,18468425497.0,12620010995.0,0.0,20.15,37.3,25.49,31236.0,35291531602.0,5661185295.0,7015149253.0,6846960252.0,0.0,16.04,19.88,19.4,44613422439.0,6357761037.0,16474182564.0,7305281470.0,0.0,14.25,36.93,16.37,43848.0,164445893789.0,26711346464.0,35707429153.0,29858867785.0,47805.0,797373.0,771398.0,2.77,4.36,3.92,6.2
5,1040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,2022-08-16,29184633.0,9117963877000.0,497813404000.0,-152147130000.0,82575588000.0,0.0,5.46,-1.67,0.91,9283450155000.0,369278183000.0,1440931214000.0,77408896000.0,0.0,3.98,15.52,0.83,11316.0,8011706833000.0,447494209000.0,564389158000.0,52226070000.0,0.0,5.59,7.04,0.65,8140707819000.0,338227690000.0,1166981449000.0,-156412523000.0,0.0,4.15,14.34,-1.92,7156.0,34484026554000.0,1881800099000.0,3353190728000.0,274974387000.0,9421.0,577845.0,564116.0,0.73,0.66,1.96,1.67
6,79160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,2022-08-16,40867059.0,223264235642.0,-54943806015.0,-19144561431.0,-99377360313.0,0.0,-24.61,-8.57,-44.51,240086610800.0,-43861058987.0,-2555239149.0,671046514.0,0.0,-18.27,-1.06,0.28,-9724.0,172482070347.0,-62841910134.0,-26274708971.0,-91830228083.0,0.0,-36.43,-15.23,-53.24,143347123656.0,-89691693095.0,-59769645954.0,-296374924742.0,0.0,-62.57,-41.7,-206.75,-8988.0,736315366659.0,-241445734017.0,-171876627587.0,-280206951487.0,-6856.0,5322.0,7372.0,-10.78,-7.4,-182.71,-93.0
7,120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"강신호,민영학(각자대표)",http://www.cjlogistics.com,서울특별시,2022-08-16,22815339.0,2856952867961.0,75661609962.0,-104637311843.0,27024718929.0,0.0,2.65,-3.66,0.95,3057324943498.0,99833363582.0,113490699738.0,56938435640.0,0.0,3.27,3.71,1.86,4736.0,2692602872714.0,48119805699.0,2736643192.0,12800537143.0,0.0,1.79,0.1,0.48,2841266796236.0,90751893475.0,105648513134.0,31637224116.0,0.0,3.19,3.72,1.11,2244.0,11343651787492.0,343880765667.0,344143274398.0,54742329035.0,2399.0,179018.0,176037.0,1.2,0.61,2.65,1.36
8,11150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도,2022-08-16,36130566.0,39138080407.0,1481843663.0,-8201878266.0,1934304571.0,0.0,3.79,-20.96,4.94,43912888948.0,391790781.0,-6809470485.0,-2402426168.0,0.0,0.89,-15.51,-5.47,212.0,40993228768.0,2516551899.0,2061081974.0,2607876109.0,0.0,6.14,5.03,6.36,39047272367.0,400503377.0,-2845209435.0,-184763543.0,0.0,1.03,-7.29,-0.47,288.0,162142951631.0,4499170288.0,10911064508.0,2204338963.0,61.0,1832.0,1857.0,5.23,1.65,11.57,3.28
9,97950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,2022-08-16,16381602.0,6979894271000.0,435659992000.0,-537010905000.0,247869311000.0,0.0,6.24,-7.69,3.55,6947815162000.0,236626243000.0,777040960000.0,200947298000.0,0.0,3.41,11.18,2.89,60520.0,6178109147000.0,385075351000.0,180293576000.0,218761979000.0,0.0,6.23,2.92,3.54,6151437566000.0,296616905000.0,560752498000.0,-12694356000.0,0.0,4.82,9.12,-0.21,53416.0,26289227767000.0,1524429392000.0,1686409257000.0,892393213000.0,54475.0,694196.0,659691.0,3.49,3.32,8.72,8.26
10,590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,장원영,http://www.chosunwelding.com,경상북도,2022-08-16,1154409.0,44342151518.0,3631007372.0,-3545415276.0,2915040921.0,4070259579.0,8.19,-8.0,6.57,42834957756.0,4164217943.0,-2866967903.0,1942932947.0,2369162188.0,9.72,-6.69,4.54,10100.0,37968720563.0,3828122951.0,5463948739.0,3136607132.0,5077336991.0,10.08,14.39,8.26,32488441206.0,3335928769.0,7541372702.0,-973595042.0,8421255634.0,10.27,23.21,-3.0,10868.0,159017955309.0,19647701659.0,8113504608.0,14664297206.0,12702.0,270723.0,270437.0,3.24,4.15,3.73,4.7
11,12030,KOSPI,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시,2022-08-16,201196829.0,92672775117.0,10123697349.0,-10932002860.0,9707292844.0,0.0,10.92,-11.8,10.47,88609649776.0,2767318597.0,7896112601.0,2453271528.0,2453271528.0,3.12,8.91,2.77,192.0,67876747779.0,10252002926.0,-2483885500.0,9802206072.0,0.0,15.1,-3.66,14.44,74586105066.0,6355567611.0,5745884258.0,-8005223537.0,7430519358.0,8.52,7.7,-10.73,192.0,326914604920.0,23472667404.0,18587524770.0,21705064303.0,107.0,2710.0,2175.0,5.27,3.61,7.08,4.96
12,990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도,2022-08-12,44408178.0,395024842725.0,181544900393.0,93254113025.0,158684674713.0,158684674713.0,45.96,23.61,40.17,367855453111.0,138146823747.0,169150979699.0,117372295503.0,117372295503.0,37.55,45.98,31.91,14292.0,243736208590.0,60590744587.0,50998531347.0,47810548964.0,47810548964.0,24.86,20.92,19.62,227818846946.0,30403226651.0,95699925876.0,13565936085.0,164432197016.0,13.35,42.01,5.95,4304.0,1214682040178.0,399106778303.0,393129114790.0,316891852008.0,7135.0,30865.0,24906.0,33.88,20.45,46.3,28.65
13,1530,KOSPI,DI동일,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04,12월,"서태원, 손재선",http://www.dong-il.com,서울특별시,2022-08-16,25572618.0,241007941980.0,17668630864.0,-7719725518.0,14276289553.0,0.0,7.33,-3.2,5.92,232445489916.0,12850631663.0,12913754234.0,10399212773.0,0.0,5.53,5.56,4.47,2232.0,194162877751.0,11993624963.0,7982942966.0,9320630481.0,0.0,6.18,4.11,4.8,172932543838.0,6075935013.0,20074387567.0,4013646069.0,0.0,3.51,11.61,2.32,1456.0,813085258056.0,48592979653.0,24848897859.0,42006521551.0,1642.0,23872.0,22426.0,5.35,4.23,9.35,7.32
14,210,KOSPI,DL,기타 금융업,지주회사,1976-02-02,12월,전병욱,http://www.dlholdings.co.kr,서울특별시,2022-08-16,20954399.0,883116562114.0,32261385587.0,-76222032754.0,98301635489.0,0.0,3.65,-8.63,11.13,671706495384.0,33945792791.0,55148276429.0,6247890894.0,0.0,5.05,8.21,0.93,18764.0,509907602348.0,65951240377.0,147878816007.0,318127919935.0,0.0,12.93,29.0,62.39,430639761275.0,15611497216.0,784193773529.0,-76788178486.0,0.0,3.63,182.1,-17.83,60724.0,2385420753496.0,221893397682.0,300778140679.0,865414321922.0,41299.0,227769.0,216194.0,3.21,10.4,8.24,19.1
15,1880,KOSPI,DL건설,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,조남창,http://www.dlconstruction.co.kr,인천광역시,2022-08-16,22053586.0,333264733985.0,3919721158.0,-79203037666.0,5672691546.0,0.0,1.18,-23.77,1.7,634216632515.0,59634309932.0,137560610279.0,47022706163.0,0.0,9.4,21.69,7.41,1028.0,417488989253.0,62992151049.0,34705649753.0,54216344885.0,0.0,15.09,8.31,12.99,508994303368.0,34150384707.0,80751901978.0,15753560534.0,0.0,6.71,15.86,3.1,9832.0,2010344322791.0,229634333122.0,80350190260.0,175561248492.0,7960.0,44941.0,43434.0,1.31,10.52,2.29,18.33
16,4840,KOSPI,DRB동일,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,류영식,http://drbworld.com,부산광역시,2022-08-12,19928865.0,136405730116.0,-3422789696.0,-19468379996.0,-833859485.0,0.0,-2.51,-14.27,-0.61,141201454540.0,-688249259.0,-702286535.0,2584394310.0,-2796740448.0,-0.49,-0.5,1.83,-164.0,120651125489.0,2075524631.0,-14258277780.0,1393689150.0,0.0,1.72,-11.82,1.16,138527171651.0,8959319698.0,247460155.0,-2159886087.0,-2796740448.0,6.47,0.18,-1.56,276.0,551337199988.0,577562481.0,-48338767545.0,-4054340227.0,-203.0,23980.0,23862.0,-0.37,-0.49,-0.68,-0.85
17,155660,KOSPI,DSR,1차 비철금속 제조업,합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시,2022-08-12,15999474.0,87227309843.0,9671589072.0,4538238794.0,7625694540.0,0.0,11.09,5.2,8.74,71758369046.0,1112156101.0,2644377678.0,1324992194.0,0.0,1.55,3.69,1.85,1904.0,60580392365.0,4158147361.0,4367515428.0,4138850876.0,0.0,6.86,7.21,6.83,59903754010.0,2684811491.0,5707376740.0,1689437726.0,0.0,4.48,9.53,2.82,1032.0,272417651710.0,13454431587.0,5332134198.0,12289655061.0,768.0,11614.0,11126.0,9.14,4.06,16.39,6.9
18,69730,KOSPI,DSR제강,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,홍하종,http://www.dsrcorp.com,전라남도,2022-08-12,14399088.0,60917992263.0,7093751065.0,1414302842.0,8370316388.0,0.0,11.64,2.32,13.74,60990582951.0,4502295686.0,-3800317480.0,3695646284.0,0.0,7.38,-6.23,6.06,2324.0,45845471055.0,-437543835.0,513633277.0,1351759937.0,0.0,-0.95,1.12,2.95,45398416265.0,-18968562.0,6185101323.0,11455042.0,0.0,-0.04,13.62,0.03,372.0,207142759596.0,4291637467.0,-13140394540.0,7620490221.0,529.0,11449.0,10683.0,13.05,3.15,20.3,4.95
19,17940,KOSPI,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,"구자용, 구동휘, 천정식 (각자 대표이사)",http://www.e1.co.kr,서울특별시,2022-08-16,6860092.0,1855936103756.0,7301638095.0,-268594213684.0,59592440712.0,0.0,0.39,-14.47,3.21,1491777143741.0,24244838434.0,113530599516.0,-10842395486.0,0.0,1.63,7.61,-0.73,34744.0,1262606439574.0,37083892597.0,-26061111191.0,40555916320.0,0.0,2.94,-2.06,3.21,954880278342.0,-20545242281.0,152545776772.0,10747162378.0,0.0,-2.15,15.98,1.13,23644.0,5152300897477.0,5575314498.0,51299645517.0,131758227871.0,19206.0,205712.0,200202.0,5.44,3.29,16.89,9.59
20,7700,KOSPI,F&F홀딩스,기타 금융업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnfholdings.com,서울특별시,2022-08-16,39113363.0,438218951041.0,136578277681.0,124396487465.0,28170737144.0,95169185323.0,31.17,28.39,6.43,565069842756.0,173484001819.0,182059076555.0,40920338768.0,123963100976.0,30.7,32.22,7.24,2880.0,8011589603.0,1390583663.0,84249778243.0,56511719844.0,2088643476.0,17.36,1051.6,705.37,5903880644.0,-1109310990.0,121898661910.0,49195255143.0,168480087893.0,-18.79,2064.72,833.27,5776.0,727126345365.0,223050455460.0,279947856820.0,1912061597858.0,48885.0,64050.0,59169.0,3.72,65.65,4.5,82.62
21,114090,KOSPI,GKL,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19,12월,김영산,http://www.grandkorea.com,서울특별시,2022-08-12,61855670.0,46868257395.0,-13225805815.0,3816963364.0,-10778060536.0,0.0,-28.22,8.14,-23.0,21577890370.0,-42285619446.0,-43795379537.0,-34375487681.0,0.0,-195.97,-202.96,-159.31,-696.0,5269766104.0,-46643807449.0,-35142704352.0,-37430214170.0,0.0,-885.12,-666.87,-710.28,14935529118.0,-52666216940.0,-71200930868.0,-32706719078.0,0.0,-352.62,-476.72,-218.99,-2420.0,85086860671.0,-145828746668.0,-128217468871.0,-113272118808.0,-1831.0,5639.0,6200.0,-9.15,-21.32,-12.34,-29.53
22,6360,KOSPI,GS건설,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03,12월,"허창수, 임병용(각자 대표이사)",http://www.gsconst.co.kr/,서울특별시,2022-08-16,85586370.0,2375894726449.0,153261680462.0,363554774399.0,155405030462.0,0.0,6.45,15.3,6.54,2619103976983.0,192675194321.0,382748148720.0,75576017518.0,0.0,7.36,14.61,2.89,7260.0,2014136425954.0,176622423683.0,505101121979.0,157861956984.0,0.0,8.77,25.08,7.84,2817318431728.0,204880041979.0,163081018666.0,10182949033.0,0.0,7.27,5.79,0.36,7376.0,9036575422803.0,646485539335.0,1107469329126.0,428803249577.0,5010.0,60595.0,56933.0,3.71,2.82,11.98,8.8
23,1250,KOSPI,GS글로벌,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,이영환,http://www.gsgcorp.com,서울특별시,2022-08-12,82534233.0,1250815970594.0,23806175111.0,-48464923365.0,11878983174.0,0.0,1.9,-3.87,0.95,1302108016655.0,1082821236.0,-155521615342.0,-7659204605.0,0.0,0.08,-11.94,-0.59,572.0,679474772887.0,8063599045.0,-13988792667.0,2993625299.0,0.0,1.19,-2.06,0.44,641467153599.0,-8942976115.0,29431454002.0,-98850721193.0,0.0,-1.39,4.59,-15.41,144.0,3849040520289.0,38846703450.0,-344280590221.0,23321678873.0,282.0,4408.0,4149.0,2.97,1.62,12.97,6.81
